"","ref_id","iso2","reviewed_by","reviewed_date","country_role"
"79","ISI000321003900005","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"80","ISI000310401900021","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"81","ISI000304114200012","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"82","ISI000305867400002","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"83","ISI000245766600021","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"84","ISI000297628300007","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"85","ISI000295921800001","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"86","ISI000556843900031","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"87","ISI000505950900007","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"88","ISI000514151000008","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"89","ISI000241214400002","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"90","ISI000293060700001","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"91","ISI000288085200008","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"92","ISI000287851700012","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"93","ISI000305372000004","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"94","ISI000290132900010","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"95","ISI000285503900001","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"96","ISI000285174000025","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"97","ISI000284457100004","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"98","ISI000284498200020","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"99","ISI000274770200018","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"100","ISI000272963900022","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"101","ISI000270283700022","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"102","ISI000269576700030","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"103","ISI000266293100003","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"104","ISI000265070400010","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"105","ISI000264525800022","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"106","ISI000262873100007","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"107","ISI000269585900002","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"108","ISI000261836400012","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"109","ISI000261063800009","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"110","ISI000259967100001","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"111","ISI000259797500008","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"112","ISI000258550900002","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"113","ISI000260227100025","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"114","ISI000256158100021","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"115","ISI000208353000010","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"116","ISI000245693700008","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"117","ISI000243377600003","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"118","ISI000214236600015","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"119","ISI000240562700009","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"120","ISI000236072200011","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"121","ISI000235885500008","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"122","ISI000242900700004","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"123","ISI000230055800005","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"124","ISI000233659100025","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"125","ISI000227704000004","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"126","ISI000226319600014","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"127","ISI000224286600009","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"128","ISI000221971500008","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"129","ISI000226632900006","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"130","ISI000177145700011","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"131","ISI000174053600005","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"132","ISI000085653000006","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"133","ISIA1997XQ86200008","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"134","ISIA1997XA17300005","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"135","ISIA1996UN66200010","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"136","ISIA1996UN66200013","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"137","ISIA1995RU41900002","AR","Rsaurio",2020-10-29 10:05:56,"In text"
"138","ISI000423017200021","AM","Rsaurio",2020-10-29 10:05:57,"In text"
"139","ISI000403262900017","AS","Rsaurio",2020-10-29 10:05:57,"In text"
"140","ISI000443026700001","AS","Rsaurio",2020-10-29 10:05:57,"In text"
"141","ISI000326656200076","AS","Rsaurio",2020-10-29 10:05:57,"In text"
"142","ISI000173151300010","AS","Rsaurio",2020-10-29 10:05:57,"In text"
"143","ISI000364023800012","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"144","ISI000361581300002","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"145","ISI000506894800040","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"146","ISI000502264500207","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"147","ISI000275176500026","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"148","ISI000242396400003","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"149","ISI000183268200019","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"150","ISI000168749900001","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"151","ISI000088546300079","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"152","ISI000073343800008","AQ","Rsaurio",2020-10-29 10:05:58,"In text"
"153","ISI000508629600001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"154","ISI000487978900108","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"155","ISI000483285800001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"156","ISI000478007000012","AU","Rsaurio",2020-10-29 10:05:59,"In text"
