"","year","ref_id","reviewed_by","status"
"136",2019,"ISI000489839000001",NA,NA
"137",2019,"ISI000490477400001",NA,NA
"138",2019,"ISI000490497900001",NA,NA
"139",2019,"ISI000475684500005",NA,NA
"140",2019,"ISI000489006500001",NA,NA
"141",2019,"ISI000486992600001",NA,NA
"142",2019,"ISI000473533600002",NA,NA
"143",2019,"ISI000488065500001","Rsaurio","rejected off topic"
"144",2019,"ISI000486972401092",NA,NA
"145",2019,"ISI000485795100010","Rsaurio","rejected off topic"
"146",2019,"ISI000484078600010",NA,NA
"147",2019,"ISI000482422300020",NA,NA
"148",2019,"ISI000481634300011",NA,NA
"149",2019,"ISI000471073700018",NA,NA
"150",2019,"ISI000479024100005","Rsaurio","rejected off topic"
"151",2019,"ISI000476575600010",NA,NA
"152",2019,"ISI000475472300002","Rsaurio","rejected off topic"
"153",2019,"ISI000475850400001",NA,NA
"154",2019,"ISI000476538000005",NA,NA
"155",2019,"ISI000476521300019",NA,NA
"156",2019,"ISI000474489600026",NA,NA
"157",2019,"ISI000474452100005",NA,NA
"158",2019,"ISI000474452100030","Rsaurio","rejected off topic"
"159",2019,"ISI000463827800007",NA,NA
"160",2019,"ISI000474030500001",NA,NA
"161",2019,"ISI000472770700012","Rsaurio","rejected off topic"
"162",2019,"ISI000471132000009","Rsaurio","rejected off topic"
"163",2019,"ISI000471586200005","Rsaurio","rejected off topic"
"164",2019,"ISI000471835800008",NA,NA
"165",2019,"ISI000470791000002","Rsaurio","rejected off topic"
"166",2019,"ISI000472023000029",NA,NA
"167",1994,"ISIA1994PX30700008",NA,NA
"168",2019,"ISI000473794600019",NA,NA
"169",2019,"ISI000483993000064",NA,NA
"170",2019,"ISI000483464400003",NA,NA
"171",2019,"ISI000481459400002",NA,NA
"172",2019,"ISI000475348700029",NA,NA
"173",2019,"ISI000475686300008",NA,NA
"174",2019,"ISI000474047600016",NA,NA
"175",2019,"ISI000474122100020","Rsaurio","rejected off topic"
"176",2019,"ISI000474127300029",NA,NA
"177",2019,"ISI000473271100004",NA,NA
"178",2019,"ISI000472976300004",NA,NA
"179",2019,"ISI000472993900013",NA,NA
"180",2019,"ISI000471124600071",NA,NA
"181",2019,"ISI000472217300010",NA,NA
"182",1994,"ISIA1994PR84800002",NA,NA
"183",2019,"ISI000472124600003",NA,NA
"184",2019,"ISI000471880000002",NA,NA
"185",2019,"ISI000471648100006",NA,NA
"186",2019,"ISI000470924200010",NA,NA
"187",1994,"ISIA1994QQ24700010",NA,NA
"188",2019,"ISI000470781300001","Rsaurio","included in review"
"189",2019,"ISI000470322100003",NA,NA
"190",2019,"ISI000469761900004","Rsaurio","rejected off topic"
"191",2019,"ISI000469356900003",NA,NA
"192",2019,"ISI000473097500005",NA,NA
"193",2019,"ISI000469356900005",NA,NA
"194",2019,"ISI000469356900007","Rsaurio","rejected off topic"
"195",2019,"ISI000467774800023","Rsaurio","rejected off topic"
"196",2019,"ISI000467647700014","Rsaurio","rejected off topic"
"197",2019,"ISI000470768500292",NA,NA
"198",2019,"ISI000467366400027",NA,NA
"199",2019,"ISI000465560700011",NA,NA
"200",2019,"ISI000465063900022",NA,NA
"201",2019,"ISI000470917900001",NA,NA
"202",1981,"ISIA1981MT25700522",NA,NA
"203",2019,"ISI000469431900001",NA,NA
"204",2019,"ISI000469003000001",NA,NA
"205",2019,"ISI000468303000002",NA,NA
"206",1992,"ISIA1992JC58500047",NA,NA
"207",2019,"ISI000467388200004","Rsaurio","rejected off topic"
"208",2019,"ISI000471558300001",NA,NA
"209",2019,"ISI000466886300015",NA,NA
"210",2019,"ISI000473815400003",NA,NA
"211",2019,"ISI000468319700007",NA,NA
"212",2019,"ISI000470962000034",NA,NA
"213",2019,"ISI000470962000006",NA,NA
"214",2019,"ISI000470031400010",NA,NA
"215",2019,"ISI000468979300006",NA,NA
"216",1991,"ISIA1991HF34900014",NA,NA
"217",2019,"ISI000468979300007",NA,NA
"218",2019,"ISI000468979300009",NA,NA
"219",2019,"ISI000468979300011",NA,NA
"220",2019,"ISI000468979300014",NA,NA
"221",2019,"ISI000467852800002",NA,NA
"222",1974,"ISIA1974U650500007",NA,NA
"223",2019,"ISI000468158400001",NA,NA
"224",2019,"ISI000465507800004","Rsaurio","rejected off topic"
"225",2019,"ISI000467568800009","Rsaurio","rejected off topic"
"226",2019,"ISI000466150400012",NA,NA
"227",2019,"ISI000491495300007",NA,NA
